Date,Portfolio_Value,Benchmark_Value
2019-01-28,129185.9156159771,116590.41818700607
2019-01-29,129874.53906234735,117043.56204871152
2019-01-30,130078.47337239585,117167.95802943571
2019-01-31,130707.81297015579,117679.86412608763
2019-02-01,130178.5852041574,117265.82800840602
2019-02-04,130966.75921746952,117728.49126651007
2019-02-05,131684.9898463477,118285.35847409774
2019-02-06,132021.5526266646,118486.73386268792
2019-02-07,131918.67043331114,118399.18179579731
2019-02-08,131419.3267851569,117950.94219654839
2019-02-11,131483.63700344038,118007.82291120902
2019-02-12,132085.09755730478,118401.51594479219
2019-02-13,132265.8844131568,118475.01404221937
2019-02-14,132759.29542052015,118943.4014431444
2019-02-15,133723.49010963115,119629.69853020192
2019-02-19,134173.13206135607,119814.41334385285
2019-02-20,134458.73788609737,119968.0822001606
2019-02-21,134243.93215604447,119867.27679280781
2019-02-22,134214.646611701,119895.28448933424
2019-02-25,134731.11316399666,120242.14465519428
2019-02-26,134593.6322982157,120381.22066618709
2019-02-27,134447.62035952372,120174.87455334661
2019-02-28,133927.52312826537,119884.83384321549
2019-03-01,135244.4939164608,120834.2886200544
2019-03-04,134904.95230925034,120758.77166490693
2019-03-05,135288.28871714018,121048.62354389878
2019-03-06,135408.49402288123,121334.03830066373
2019-03-07,135061.48086289622,121039.10537111902
2019-03-08,134555.10695194747,120602.92669836094
2019-03-11,135660.16597396004,121393.7168523261
2019-03-12,135767.1991392412,121419.0468687444
2019-03-13,135934.42685163382,121562.71722934535
2019-03-14,135844.07619006594,121574.05511579348
2019-03-15,136455.8245462123,122158.21450245992
2019-03-18,137200.43673944194,122655.69912520306
2019-03-19,136794.55245081798,122430.37374160864
2019-03-20,136550.3261410504,122406.89288345356
2019-03-21,137667.45682666436,123110.32517167233
2019-03-22,136397.86345438848,122316.92494912157
2019-03-25,136183.92390411388,122274.36359718286
2019-03-26,136826.1983304061,122713.77174700706
2019-03-27,136566.14929470164,122727.94955140384
2019-03-28,136952.90605062127,122920.11036074307
